"ts","username","platform","ms_played","conn_country","ip_addr_decrypted","user_agent_decrypted","master_metadata_track_name","master_metadata_album_artist_name","master_metadata_album_album_name","spotify_track_uri","episode_name","episode_show_name","spotify_episode_uri","reason_start","reason_end","shuffle","skipped","offline","offline_timestamp","incognito_mode"
"2019-10-05T11:57:17Z","1129081105","iOS 12.4.1 (iPhone9,3)",161813,"FR","80.69.210.140","unknown","Figged nöd mit mim Glied","Knöppel","Faszination Glied","spotify:track:5OLPyzGs4v30iFkiTU4C9m",null,null,null,"trackdone","trackdone",true,null,false,1570276474534,false
"2012-05-18T11:59:06Z","1129081105","iOS 5.1 (iPhone3,1)",0,"CH","84.72.36.80",null,"The Final Countdown","Europe","Top Gun Deluxe Edition","spotify:track:4fLcfmrNNM0GRh7dQvyllY",null,null,null,"fwdbtn","fwdbtn",false,true,false,0,false
"2021-07-03T13:04:40Z","1129081105","iOS 14.6 (iPhone13,1)",233781,"ZA","41.174.131.34","unknown","God Bless America","EAV (Erste Allgemeine Verunsicherung)","100 Jahre EAV...ihr habt es so gewollt!","spotify:track:2AWgO8Rh7xpQGzTXN2zLLo",null,null,null,"appload","trackdone",true,null,false,1625317195799,false
"2022-10-21T18:09:35Z","1129081105","iOS 15.6 (iPhone13,1)",0,"CH","178.197.205.14","unknown","Sieben Tage, sieben Nächte","Wolfgang Petry","Frei für Dich","spotify:track:7hAJG0OULdhLnGg1UDMTvy",null,null,null,"fwdbtn","fwdbtn",false,null,false,1666375772434,false
"2014-12-23T13:04:07Z","1129081105","iOS 8.1.2 (iPhone6,2)",156333,"CH","178.197.226.70","unknown","Time to Go - Live on Lansdowne, Boston MA","Dropkick Murphys","Live on Lansdowne, Boston MA","spotify:track:2rpbws8yWEjQPg4mmAxnJx",null,null,null,"trackdone","trackdone",true,false,false,0,false
"2012-08-05T19:30:58Z","1129081105","OS X 10.7.4 [x86 4]",21521,"CH","84.72.36.80","unknown","Looks Like Sex","Mike Posner","Looks Like Sex","spotify:track:67ornPeJsD8z78E4isjhzm",null,null,null,"remote","remote",false,true,false,0,false
"2021-06-02T20:05:19Z","1129081105","iOS 14.5.1 (iPhone13,1)",235893,"CH","178.197.233.210","unknown","Bring Me To Life","Evanescence","Fallen","spotify:track:0COqiPhxzoWICwFCS4eZcp",null,null,null,"fwdbtn","trackdone",true,null,false,1622664083612,false
"2016-10-01T13:37:58Z","1129081105","iOS 10.0.1 (iPhone7,2)",12914,"CH","178.197.229.67","unknown","Refuse To Lose","Non Phixion","I Shot Reagan","spotify:track:0WCRNU56cdFi2iYzqHNKLX",null,null,null,"trackdone","fwdbtn",true,null,false,0,false
"2017-09-24T14:50:19Z","1129081105","iOS 10.3.3 (iPhone7,2)",2020,"CH","178.197.224.63","unknown","Radical Eyes","Prophets Of Rage","Prophets Of Rage","spotify:track:2mdCaBOHQwTLnRzOus5H7I",null,null,null,"clickrow","fwdbtn",false,null,false,1506264616098,false
"2017-02-25T16:02:50Z","1129081105","iOS 10.2.1 (iPhone7,2)",1393,"AL","178.132.216.73","unknown","I'd Do Anything For Love (But I Won't Do That)","Meat Loaf","Bat Out Of Hell II: Back Into Hell...","spotify:track:4UrgDocbHywDZv2f3mBhCq",null,null,null,"fwdbtn","fwdbtn",true,null,false,1488038568042,false
